_id,latest_count_id,latest_count_type,latest_count_date_start,latest_count_date_end,latest_count_duration,location_name,longitude,latitude,centreline_id,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_start,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_start,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct
1,3011695,ATR_SPEED_VOLUME,2025-01-07,2025-01-09,72,Chestnut Cres: Ww E Pidgeon N Chestnut - Anaconda Ave,-79.27512536715733,43.71776487774428,30055414,366.7,366.7,,08:45:00,38.7,15:00:00,60.3,23.8,29.5,32.9,
2,3011700,ATR_SPEED_VOLUME,2025-01-07,2025-01-07,24,Sheffield St: Ingram Dr - Densley Ave,-79.46975330534835,43.70305150617117,11382359,5677,5677,,08:15:00,440,15:30:00,554,30.2,34.5,38,
3,3011704,ATR_SPEED_VOLUME,2025-01-07,2025-01-09,72,Brooklawn Ave: Ln S Kingston W Harewood - Kingston Rd,-79.23595646503256,43.721723526381396,60025647,1454.3,1454.3,,08:00:00,155,16:30:00,130.3,24.5,29.1,31.3,
4,3011658,ATR_SPEED_VOLUME,2025-01-07,2025-01-09,72,Bendale Blvd: McCowan Rd - Perivale Cres,-79.24160343717112,43.74815393769734,110103,496.7,496.7,,08:15:00,35.7,14:45:00,47,26.8,29.9,33.7,
5,3011673,ATR_SPEED_VOLUME,2025-01-07,2025-01-09,72,Corbett Ave: Mould Ave - Ln E Jane N Corbett,-79.48958000000002,43.67112,20089967,805.7,805.7,,08:30:00,56.7,15:15:00,87,28.3,33.5,35,
6,3011679,ATR_SPEED_VOLUME,2025-01-07,2025-01-09,72,Cornwallis Dr: Denham Rd - Ellendale Dr,-79.27760500000001,43.751535000000004,109877,1619.3,1619.3,,08:00:00,143,15:00:00,140,29.6,34,37.2,
7,3011682,ATR_SPEED_VOLUME,2025-01-07,2025-01-09,72,St Andrews Rd: Thomson Memorial Park Trl - Kencliff Cres,-79.24826213357677,43.75978648128894,30010613,739,739,,08:15:00,68,16:30:00,71,29.4,34.1,36.7,
8,3011680,ATR_SPEED_VOLUME,2025-01-07,2025-01-09,72,Cornwallis Dr: Portsdown Rd - Blaisdale Rd,-79.28029000000001,43.75099,109931,1459.3,1459.3,,08:00:00,151.3,14:45:00,144.3,29.4,33.9,36.3,
9,3011659,ATR_SPEED_VOLUME,2025-01-07,2025-01-09,72,Bendale Blvd: Perivale Cres - Rossander Crt,-79.23983529248824,43.74959406599805,110058,165.3,165.3,,09:00:00,12.3,17:30:00,17,25.7,29.8,33.4,
10,3011681,ATR_SPEED_VOLUME,2025-01-07,2025-01-09,72,St Andrews Rd: Brimley Rd - Neapolitan Dr,-79.25710000000001,43.76193500000001,2146326,1335.3,1335.3,,08:15:00,146.3,15:15:00,129.7,31,34.6,38.5,
11,3011683,ATR_SPEED_VOLUME,2025-01-07,2025-01-09,72,St Andrews Rd: near Suraty Ave,-79.25218283744113,43.7604030180621,30083231,891,891,,08:15:00,84.3,14:30:00,84,29.5,33.6,34.8,
12,3011685,ATR_SPEED_VOLUME,2025-01-07,2025-01-09,72,Broadbent Ave: Midland Ave - Chipper Cres,-79.25917993242679,43.73910379449689,110831,907.7,907.7,,08:15:00,126.7,14:45:00,96,22.8,28.4,29.6,
13,3011686,ATR_SPEED_VOLUME,2025-01-07,2025-01-09,72,Broadbent Ave: Chipper Cres - Chillery Ave,-79.25710737673434,43.73975617088948,110802,663.7,663.7,,08:15:00,107.3,14:45:00,76.7,30,34.4,38.2,
14,3011688,ATR_SPEED_VOLUME,2025-01-07,2025-01-09,72,Belsize Dr: Wilfrid Ave - Acacia Rd,-79.39137000000001,43.701440000000005,7324291,846.7,846.7,,08:15:00,116.7,16:45:00,94,21.1,27.3,29.3,
15,3011671,ATR_SPEED_VOLUME,2025-01-07,2025-01-09,72,Claremore Ave: Sandown Lane - McIntosh St,-79.25374799641496,43.70425778271796,112535,2360,2360,,08:15:00,176.7,15:00:00,217,22.8,27.9,29.4,
16,3011646,ATR_SPEED_VOLUME,2024-12-17,2024-12-19,72,Wetherby Dr: Brimley Rd - Shaddock Cres,-79.24802477967289,43.73899889699857,110838,1574.7,1574.7,,07:45:00,131.7,16:00:00,118.3,38.3,46.7,52,
17,3011637,ATR_SPEED_VOLUME,2024-12-17,2024-12-19,72,Indian Grv: Howard Park Ave - Indian Valley Cres,-79.45685970967625,43.6505480936243,30145753,1041.7,1041.7,,08:15:00,100,16:15:00,108.3,33.2,41.1,46.2,
